response_id,config,post_index,true_label,predicted,full_answer,retrieved_chunks,c2_relevant,c2_note,c3_relevant,c3_note
Phase 1: Best Retriever-BM25-0,BM25,0,suicidal,suicidal,"Label: suicidal
Evidence: [3] (Depressive episode — Essential Features): suicidal ideation (with or without a specific plan), or evidence of attempted suicide
Justification: The post mentions the intent to end one's life by not sleeping until death, which is a clear indication of suicidal ideation. The mention of ""just die"" and the context of a 13-year-old age group suggests a severe level of desperation, which aligns with the diagnostic criteria for a depressive episode involving suicidal ideation.",[1] EP.DEP_essential_features_p1 || [2] EP.DEP_boundary_with_normality_p1 || [3] EP.DEP_essential_features_p2 || [4] EP.MAN_essential_features_p2 || [5] EP.MAN_boundary_with_normality_p1 || [6] 6A71_essential_features_p1 || [7] EP.HYP_essential_features_p2 || [8] EP.HYP_boundary_with_normality_p1 || [9] 6A6Y_essential_features_p1 || [10] EP.MAN_essential_features_p1,,,,
Phase 1: Best Retriever-BM25-1,BM25,1,suicidal,depression,"Label: depressive
Evidence: [10] (Depressive episode — Boundary with Normality) says: ""a depressive episode can be superimposed on normal grief. The presence of a depressive episode during a period of bereavement is suggested by persistence of constant depressive symptoms 1 month or more following the loss (i.e. there are no periods of positive mood or enjoyment of activities); severe depressive symptoms, such as extreme beliefs of low self-worth and guilt not related to the lost loved one; or presence of psychotic symptoms, suicidal ideation or psychomotor retardation. A prior history of depressive disorder or bipolar disorder is important to consider in making this distinction.""
Justification: The post describes a deep sense of isolation, despair, and a lack of emotional connection, which aligns with the criteria for a depressive episode as outlined in ICD-11. The individual is experiencing persistent depressive symptoms, including feelings of worthlessness, hopelessness, and a lack of interest in social interactions, which are consistent with the diagnostic criteria for a depressive episode. The mention of being ""alone and broken"" and the inability to communicate or feel loved further supports the classification of the post as depressive.",[1] EP.DEP_boundary_with_normality_p1 || [2] EP.DEP_essential_features_p1 || [3] EP.HYP_essential_features_p1 || [4] EP.HYP_boundary_with_normality_p1 || [5] EP.HYP_essential_features_p2 || [6] 6A72_boundary_with_normality_p1 || [7] 6A72_essential_features_p1 || [8] 6A73_essential_features_p1 || [9] 6A73_boundary_with_normality_p1 || [10] EP.DEP_boundary_with_normality_p2 || [11] EP.MAN_essential_features_p1 || [12] EP.MAN_boundary_with_normality_p1 || [13] EP.DEP_essential_features_p2 || [14] EP.MAN_essential_features_p2,,,,
Phase 1: Best Retriever-BM25-2,BM25,2,suicidal,depression,"Label: depression
Evidence: [11] (Depressive episode — Essential Features): • The concurrent presence of at least five of the following characteristic symptoms occurring for most of the day, nearly every day, during a period lasting at least 2 weeks is required for diagnosis. At least one symptom from the affective cluster must be present. Assessment of the presence or absence of symptoms should be made relative to typical functioning of the individual. Affective cluster • Depressed mood as reported by the individual (e.g. feeling down, sad) or as observed (e.g. tearful, defeated appearance) (Note: in children and adolescents depressed mood can manifest as irritability.) Cognitive-behavioural cluster • Reduced ability to concentrate and sustain attention on tasks, or marked indecisiveness • Beliefs of low self-worth or excessive and inappropriate guilt that may be manifestly delusional (Note: this item should not be considered present if guilt or self-reproach is exclusively about being depressed.) • Hopelessness about the future • Recurrent thoughts of death (not just fear of dying), recurrent suicidal ideation (with or without a specific plan), or evidence of attempted suicide
Justification: The post expresses deep emotional distress, feelings of hopelessness, and a sense of being trapped by societal pressures. It mentions recurring thoughts of death, suicidal ideation, and a desire to leave gracefully, which aligns with the diagnostic criteria for a depressive episode as outlined in ICD-11. The text reflects persistent depressed mood, reduced interest in activities, and a sense of being unable to connect with others, all of which are consistent with the essential features of a depressive episode.",[1] EP.HYP_essential_features_p1 || [2] EP.HYP_boundary_with_normality_p1 || [3] 6A72_essential_features_p1 || [4] 6A72_boundary_with_normality_p1 || [5] EP.HYP_essential_features_p2 || [6] EP.MAN_essential_features_p1 || [7] EP.MAN_boundary_with_normality_p1 || [8] 6A62_essential_features_p1 || [9] 6A62_boundary_with_normality_p1 || [10] EP.DEP_boundary_with_normality_p1 || [11] EP.DEP_essential_features_p1 || [12] EP.MAN_essential_features_p2 || [13] EP.DEP_boundary_with_normality_p2 || [14] EP.DEP_essential_features_p2,,,,
Phase 1: Best Retriever-BM25-3,BM25,3,suicidal,depression,"Label: depressive
Evidence: [5] (Depressive episode — Essential Features): ""suicidal ideation (with or without a specific plan), or evidence of attempted suicide Mood disorders 213 Neurovegetative cluster • Significantly disrupted sleep (delayed sleep onset, increased frequency of waking during the night, or early morning awakening) or excessive sleep • Significant change in appetite (diminished or increased) or significant weight change (gain or loss) • Psychomotor agitation or retardation (observable by others, not merely subjective feelings of restlessness or being slowed down) • Reduced energy, fatigue or marked tiredness following the expenditure of only a minimum of effort • The symptoms are not better accounted for by bereavement. • The symptoms are not a manifestation of another medical condition (e.g. a brain tumour), and are not due to the effects of a substance or medication on the central nervous system (e.g. benzodiazepines), including withdrawal effects (e.g. from stimulants). • The clinical presentation does not fulfil the diagnostic requirements for a mixed episode. • The mood disturbance results in significant impairment in personal, family, social, educational, occupational or other important areas of functioning. If functioning is maintained, it is only through significant additional effort.""
Justification: The post mentions ""I hate myself,"" ""my head is so messed up,"" ""moods keep changing,"" ""go from the happiest person to the most suicidal one,"" and ""it is so exhausting."" These symptoms align with the diagnostic criteria for a depressive episode, particularly the presence of suicidal ideation and significant mood disturbance, which are key features of a depressive episode as outlined in ICD-11.",[1] EP.HYP_essential_features_p1 || [2] EP.HYP_boundary_with_normality_p1 || [3] EP.MAN_essential_features_p1 || [4] EP.MAN_boundary_with_normality_p1 || [5] EP.DEP_essential_features_p2 || [6] EP.DEP_boundary_with_normality_p1 || [7] EP.MAN_essential_features_p2 || [8] EP.DEP_essential_features_p1 || [9] EP.MIX_essential_features_p1 || [10] EP.DEP_boundary_with_normality_p2 || [11] EP.HYP_essential_features_p2 || [12] 6A72_essential_features_p1 || [13] 6A72_boundary_with_normality_p1 || [14] EP.MAN_essential_features_p3 || [15] EP.MIX_essential_features_p2,,,,
Phase 1: Best Retriever-BM25-4,BM25,4,suicidal,suicidal,"Label: suicidal
Evidence: [6] (Depressive episode — Essential Features): ""The concurrent presence of at least five of the following characteristic symptoms occurring for most of the day, nearly every day, during a period lasting at least 2 weeks is required for diagnosis. At least one symptom from the affective cluster must be present. Assessment of the presence or absence of symptoms should be made relative to typical functioning of the individual. Affective cluster • Depressed mood as reported by the individual (e.g. feeling down, sad) or as observed (e.g. tearful, defeated appearance) (Note: in children and adolescents depressed mood can manifest as irritability.) • Markedly diminished interest or pleasure in activities, especially those normally found to be enjoyable to the individual (Note: this may include a reduction in sexual desire.) Cognitive-behavioural cluster • Reduced ability to concentrate and sustain attention on tasks, or marked indecisiveness • Beliefs of low self-worth or excessive and inappropriate guilt that may be manifestly delusional (Note: this item should not be considered present if guilt or self-reproach is exclusively about being depressed.) • Hopelessness about the future • Recurrent thoughts of death (not just fear of dying), recurrent suicidal ideation (with or without a specific plan), or evidence of attempted suicide""
Justification: The post expresses a desire to die and mentions multiple mental illnesses, which aligns with the diagnostic criteria for a depressive episode. The mention of recurrent thoughts of death and recurrent suicidal ideation supports the presence of a depressive episode, and the context of the post indicates a severe emotional state that may be indicative of a suicidal ideation.",[1] EP.MAN_essential_features_p2 || [2] EP.MAN_boundary_with_normality_p1 || [3] EP.HYP_essential_features_p2 || [4] EP.HYP_boundary_with_normality_p1 || [5] EP.DEP_boundary_with_normality_p1 || [6] EP.DEP_essential_features_p1 || [7] 6A72_boundary_with_normality_p1 || [8] 6A72_essential_features_p1 || [9] 6A6Y_essential_features_p1,,,,
Phase 1: Best Retriever-BM25-5,BM25,5,suicidal,suicidal,"Label: suicidal
Evidence: [10] (Depressive episode — Boundary with Normality): a depressive episode can be superimposed on normal grief. The presence of a depressive episode during a period of bereavement is suggested by persistence of constant depressive symptoms 1 month or more following the loss (i.e. there are no periods of positive mood or enjoyment of activities); severe depressive symptoms, such as extreme beliefs of low self-worth and guilt not related to the lost loved one; or presence of psychotic symptoms, suicidal ideation or psychomotor retardation. A prior history of depressive disorder or bipolar disorder is important to consider in making this distinction.
Justification: The post expresses a strong sense of despair, frustration, and hopelessness, with mentions of being bullied, screamed at, and the desire to end one's life. These symptoms align with the diagnostic criteria for a depressive episode, particularly the presence of suicidal ideation and the context of bereavement, which is mentioned in the ICD-11 text.",[1] 6A72_boundary_with_normality_p1 || [2] 6A72_essential_features_p1 || [3] EP.DEP_boundary_with_normality_p1 || [4] EP.DEP_essential_features_p1 || [5] EP.HYP_boundary_with_normality_p1 || [6] EP.HYP_essential_features_p1 || [7] EP.HYP_essential_features_p2 || [8] EP.MAN_essential_features_p2 || [9] EP.MAN_boundary_with_normality_p1 || [10] EP.DEP_boundary_with_normality_p2 || [11] 6A62_essential_features_p1 || [12] 6A62_boundary_with_normality_p1,,,,
Phase 1: Best Retriever-BM25-6,BM25,6,suicidal,depression,"Label: depressive
Evidence: [7] (Depressive episode — Essential Features) says: ""The concurrent presence of at least five of the following characteristic symptoms occurring for most of the day, nearly every day, during a period lasting at least 2 weeks is required for diagnosis. At least one symptom from the affective cluster must be present. Assessment of the presence or absence of symptoms should be made relative to typical functioning of the individual. Affective cluster • Depressed mood as reported by the individual (e.g. feeling down, sad) or as observed (e.g. tearful, defeated appearance) (Note: in children and adolescents depressed mood can manifest as irritability.)""
Justification: The post mentions feelings of being bottled up, overdosing twice, and hesitating due to medication restrictions. These indicate significant emotional distress and a history of depressive symptoms. The mention of suicidal ideation and the context of medication restriction aligns with the diagnostic criteria for a depressive episode, particularly the presence of at least five symptoms from the affective cluster.",[1] EP.MAN_essential_features_p2 || [2] EP.MAN_boundary_with_normality_p1 || [3] EP.HYP_essential_features_p2 || [4] EP.HYP_boundary_with_normality_p1 || [5] EP.MIX_essential_features_p1 || [6] EP.MAN_essential_features_p3 || [7] EP.DEP_essential_features_p1 || [8] EP.DEP_boundary_with_normality_p1 || [9] EP.MIX_essential_features_p2 || [10] 6A72_essential_features_p2 || [11] 6A72_boundary_with_normality_p1 || [12] EP.DEP_essential_features_p2,,,,
Phase 1: Best Retriever-BM25-7,BM25,7,suicidal,normal,"Label: normal
Evidence: [1] says: ""The presence of both depressive and anxiety symptoms for most of the time during a period of 2 weeks or more is required for diagnosis. Mood disorders 259""
Justification: The post expresses uncertainty about ability to take something and mentions it is getting harder, which may indicate distress but does not meet the criteria for a mood disorder diagnosis, as the symptoms are not sufficiently severe or persistent to meet the diagnostic requirements of another depressive disorder or an anxiety or fear-related disorder.",[1] 6A73_essential_features_p1 || [2] 6A73_boundary_with_normality_p1 || [3] EP.MAN_essential_features_p2 || [4] EP.MAN_boundary_with_normality_p1 || [5] EP.MAN_essential_features_p1,,,,
Phase 1: Best Retriever-BM25-8,BM25,8,suicidal,suicidal,"Label: suicidal
Evidence: [5] (Depressive episode — Essential Features): • suicidal ideation (with or without a specific plan), or evidence of attempted suicide
Justification: The post mentions a plan involving suicide pill roulette, which includes the use of a DIY extracted cyanide capsule. This indicates suicidal ideation with a specific plan, which aligns with the diagnostic criteria for a depressive episode as outlined in ICD-11. The mention of a specific plan to use a suicide pill supports the presence of suicidal ideation, which is a key component of a depressive episode.",[1] EP.DEP_essential_features_p1 || [2] EP.DEP_boundary_with_normality_p1 || [3] EP.HYP_essential_features_p1 || [4] EP.HYP_boundary_with_normality_p1 || [5] EP.DEP_essential_features_p2 || [6] EP.MIX_essential_features_p1 || [7] 6A73_essential_features_p1 || [8] 6A73_boundary_with_normality_p1 || [9] EP.DEP_boundary_with_normality_p2 || [10] 6A61_essential_features_p1 || [11] EP.HYP_essential_features_p2,,,,
Phase 1: Best Retriever-BM25-9,BM25,9,suicidal,normal,"Label: normal
Evidence: [1] says: ""Persistent depressed mood (i.e. lasting 2 years or more), for most of the day, for more days than not, as reported by the individual (e.g. feeling down, sad) or as observed (e.g. tearful, defeated appearance), is required for diagnosis. In children and adolescents depressed mood can manifest as pervasive irritability. The depressed mood is accompanied by additional symptoms typically seen in a depressive episode, though these may be milder in form. Examples include: markedly diminished interest or pleasure in activities reduced concentration and attention, or indecisiveness low self-worth, or excessive or inappropriate guilt hopelessness about the future disturbed sleep or increased sleep diminished or increased appetite low energy or fatigue. During the first 2 years of the disorder, there has never been a 2-week period during which the number and duration of symptoms were sufficient to meet the diagnostic requirements for a depressive episode. While brief symptom-free intervals during the period of persistent depressed mood are consistent with the diagnosis, there have never been any prolonged symptom-free periods (e.g. lasting 2 months or more) since the onset of the disorder. There is no history of manic, mixed or hypomanic episodes, which would indicate the presence of a bipolar or related disorder. The symptoms are not a manifestation""
Justification: The post does not indicate any symptoms of depression or suicidal ideation. The statement ""damn :/ it be like that sometimes"" is a general expression of frustration but does not meet the diagnostic criteria for dysthymic disorder or a depressive episode. The evidence from ICD-11 does not support a diagnosis of suicidal or depressive disorder.",[1] 6A72_essential_features_p1 || [2] 6A72_boundary_with_normality_p1 || [3] EP.DEP_essential_features_p1 || [4] EP.DEP_boundary_with_normality_p1,,,,
